Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,PMID,DOI,Microsoft Academic ID,PMCID,Citing Patents Count,References,Citing Works Count,Is Open Access,Open Access License,Open Access Colour
028-000-662-209-45X,Contemporary art criticism: judgment and interpretation,,2017,journal article,Vestnik of Saint Petersburg State University of Culture,26190303,St. Petersburg State University of Culture,,J. I. Arutynyan,"<jats:p>An important question of contemporary art studies is the problem of expanding the methodological base of the discipline. Modern art criticism refl ects the fundamental problems of contemporary art. Clash of the axiological approaches and the principle of interpretation, subjectivity, the infl uence of requests of the art market and commercialization are the main problems of formation of the expressive language of art criticism in the 20th–21st centuries</jats:p>",,1 (30),177,180,Epistemology; Philosophy; Interpretation (philosophy); Criticism; Contemporary art,art criticism; art theory; methods of art studies,,,,http://dx.doi.org/10.30725/2619-0303-2020-3-177-180,http://dx.doi.org/10.30725/2619-0303-2020-3-177-180,,10.30725/2619-0303-2020-3-177-180,3115216208,,0,,0,true,,bronze
028-008-739-905-610,Positioning contemporary art worlds and art publics in Southeast Asia,2020-09-01,2020,journal article,World Art,21500894; 21500908,Informa UK Limited,,Michelle Antoinette; Francis Maravillas,"This essay positions the rapidly changing field of contemporary art in Southeast Asia, and the shifting structure, dynamics and influence of the region's contemporary ‘art worlds' and ‘art publics’...",10,2-3,161,189,Political science; Publics; Field (Bourdieu); Media studies; Southeast asia; Regionalism (international relations); Contemporary art,,,,Australian Research Council,https://www.tandfonline.com/doi/full/10.1080/21500894.2020.1821761 https://research.monash.edu/en/publications/positioning-contemporary-art-worlds-and-art-publics-in-southeast-,http://dx.doi.org/10.1080/21500894.2020.1821761,,10.1080/21500894.2020.1821761,3098791669,,0,005-218-640-535-286; 017-188-060-732-305; 021-032-551-553-575; 023-194-939-603-852; 024-283-360-227-238; 025-499-212-434-285; 031-105-165-448-109; 037-800-651-002-324; 047-162-657-702-523; 049-241-100-860-469; 065-259-225-616-297; 073-720-531-445-484; 075-437-995-821-58X; 086-109-405-772-551; 086-952-176-203-994; 087-131-806-554-317; 087-679-836-931-236; 101-496-337-618-409; 102-444-540-327-107; 113-537-226-808-940; 116-158-417-899-725; 120-470-661-991-882; 124-222-393-418-221; 140-281-545-099-224; 144-844-204-748-814; 165-184-531-058-23X; 167-021-973-777-529; 170-872-361-551-75X; 182-857-436-905-031,1,false,,
028-087-535-828-973,Introduction Art in 'Global Asia' in a Transformed World,2022-11-16,2022,book chapter,The Routledge Handbook of Contemporary Art in Global Asia,,Routledge,,Jonathan Harris; Menene Gras; Bashir Makhoul,"Global Asia is a method through which to understand the continent's contemporary art. Understanding the forms and making sense of the place of contemporary art in global Asia entails mobilizing traditions of study and habits of understanding that have themselves been embedded in and shaped through institutions – in the US, Europe, and in Asian countries themselves – of the colonial and postcolonial eras. In the contemporary art world, although the volume and sales of Asian art rocketed after 2000, the historically dominant institutions profiting from these markets remained Western, based in New York and London. Socio-cultural modernity and contemporaneity – the state of ‘being contemporary’ – are centrally implicated in the development of the global contemporary art world. ‘Contemporary art’ as an idea is much more ambiguous, interesting, and contested because of the indeterminacy of the historical period to which it is held ‘contemporary’ actually refers.",,,3,13,History; Geography,,,,,,http://dx.doi.org/10.4324/9781003285298-2,,10.4324/9781003285298-2,,,0,,0,false,,
028-313-767-336-874,High art on a mug: Art merchandise in China's contemporary art market,2023-07-07,2023,journal article,European Journal of Cultural Studies,13675494; 14603551,SAGE Publications,United States,Svetlana Kharchenkova,"<jats:p> This article investigates the interplay between art, commerce and democratization in the contemporary art market. It studies the roles of art merchandise, such as mugs decorated with images of high art, in the contemporary art market in China. Relying on interviews, observations and other qualitative data, this article demonstrates that the merchandising of contemporary art is legitimate in China. The generation of income and promotion of artists and contemporary art generally emerged as important roles that China’s art world participants assign to art merchandise. Art merchandise is fitting for these roles in a consumer society. The prevalence of art merchandising in China stems from a lack of state support for contemporary art, and a specific cultural and historical context that makes people more attuned to accept multiples. This article contributes to the sociology of art, the literature on the democratization of art and arts marketing literature. </jats:p>",27,4,629,647,Contemporary art; Democratization; Art market; China; Chinese art; Context (archaeology); The arts; Sociology; Art methodology; Promotion (chess); Anthropology of art; Visual arts; Aesthetics; Art; History; Political science; Art history; Law; Archaeology; Politics; Performance art; Democracy,,,,Nederlandse Organisatie voor Wetenschappelijk Onderzoek,https://journals.sagepub.com/doi/pdf/10.1177/13675494231184016 https://doi.org/10.1177/13675494231184016 https://scholarlypublications.universiteitleiden.nl/access/item%3A3631020/view https://hdl.handle.net/1887/3631019,http://dx.doi.org/10.1177/13675494231184016,,10.1177/13675494231184016,,,0,001-584-206-409-425; 002-109-077-158-677; 002-160-956-218-318; 004-917-145-032-952; 019-195-492-729-407; 020-501-128-403-337; 022-234-399-238-053; 034-832-692-869-132; 040-283-207-847-545; 040-445-638-823-552; 046-251-721-641-824; 050-538-685-865-486; 051-286-315-437-669; 071-494-606-794-748; 075-694-721-406-44X; 075-719-051-330-551; 078-213-927-910-755; 081-666-476-737-956; 086-016-380-087-060; 087-928-704-435-876; 089-899-508-576-025; 097-542-560-864-444; 101-363-156-979-484; 101-446-492-544-045; 104-658-998-282-525; 107-412-458-824-329; 107-931-983-303-040; 124-156-166-766-645; 138-128-660-555-210; 155-319-834-841-152; 161-778-218-145-057; 172-398-111-512-35X; 175-471-785-713-059,0,true,cc-by,hybrid
028-962-821-295-699,The Development the Art Language of Contemporary Copper Print,,2008,journal article,Journal of Art College of Inner Mongolia University,16729838,,,Cao Xue-fei,"The evolution of the art language of the contemporary copper prints builds the language factor of formal beauty of copper print.Technical skills of the diversity brings about the extension of copper print,new media and digital technology in the creative use,and the application of new medium,new materials have promoted the conversion of the art aesthetic connotation of the contemporary copper prints.All these have expanded and extended the art language of the contemporary copper print.",,,,,Art; Visual arts; Connotation; Beauty; Factor (programming language); New materials; Copper; New media,,,,,http://en.cnki.com.cn/Article_en/CJFDTOTAL-NMYS200804014.htm,http://en.cnki.com.cn/Article_en/CJFDTOTAL-NMYS200804014.htm,,,2389015200,,0,,0,false,,
029-029-964-725-949,Morality and exchange in the Mumbai contemporary art world,2015-03-01,2015,book chapter,Cosmopolitan Canvases,,Oxford University Press,,Olga Kanzaki Sooudi,"The Indian contemporary art market developed dramatically over the 1990s and 2000s. More buyers and increased prices for, as well as new attention on, Indian contemporary art, both domestically and abroad, also entailed the maturation of local art scenes, especially in Mumbai and Delhi, as new galleries, art businesses, and museums emerged. At a local level, these transformations are commonly understood as the result of globalization. Drawing on ethnographic research in the Mumbai contemporary art scene, this chapter examines how local art insiders interpret these ongoing changes. By approaching the Indian art market as a system of exchange, it accesses the everyday, informal ways in which individuals encounter the globalizing ""art market."" These are indirect, and not explicitly economic. Instead, art exchange is profoundly moral terrain, where interpersonal relationships are entangled with shifting assertions and beliefs about the right and wrong ways of dealing with art objects and money.",,,264,284,Aesthetics; Indian art; Literature; Art; Ethnography; Morality; Globalization; Art market; Art methodology; Contemporary art; Interpersonal relationship,,,,,https://core.ac.uk/display/85819262 https://dare.uva.nl/personal/pure/en/publications/morality-and-exchange-in-the-mumbai-contemporary-art-world(c9e336fb-d510-4c40-a7db-3f00c14fcc53).html https://www.narcis.nl/publication/RecordID/oai%3Adare.uva.nl%3Apublications%2Fc9e336fb-d510-4c40-a7db-3f00c14fcc53,http://dx.doi.org/10.1093/acprof:oso/9780198717744.003.0012,,10.1093/acprof:oso/9780198717744.003.0012,2469140443,,0,,6,false,,
029-284-839-379-141,"Paradise Lost: Revisiting the Niger Delta. Center for Contemporary Art Lagos, Lagos, Nigeria, March 29–May 3, 2008",,2009,journal article,African Arts,00019933; 19372108,MIT Press,United States,Giulia Paoletti,,42,4,80,81,Art; Ancient history; Center (algebra and category theory); Paradise lost; Niger delta; Contemporary art,,,,,http://www.mitpressjournals.org/doi/abs/10.1162/afar.2009.42.4.80?ai=tb&mi=0&af=R,http://dx.doi.org/10.1162/afar.2009.42.4.80,,10.1162/afar.2009.42.4.80,2315065089,,0,,2,false,,
029-286-204-709-767,Contemporary art in France,2007-05-01,2007,journal article,Choice Reviews Online,00094978; 15238253; 19435975,American Library Association,,,,44,9,44,4840-44-4840,History; Art; Aesthetics,,,,,,http://dx.doi.org/10.5860/choice.44-4840,,10.5860/choice.44-4840,,,0,,0,false,,
029-417-713-974-240,"Contemporary Art in a Renaissance Setting: The Local Art System in Florence, Italy",2020-05-15,2020,book chapter,An Anthropology of Contemporary Art,,Routledge,,Stuart Plattner,,,,105,119,Art; The Renaissance; Art history; Contemporary art,,,,,https://www.taylorfrancis.com/books/e/9781003084464/chapters/10.4324/9781003084464-10 https://www.taylorfrancis.com/chapters/edit/10.4324/9781003084464-10/contemporary-art-renaissance-setting-local-art-system-florence-italy-stuart-plattner,http://dx.doi.org/10.4324/9781003084464-10,,10.4324/9781003084464-10,2917793877,,0,,0,false,,
029-663-499-033-274,Gwendolyn DuBois Shaw: <i>Seeing the Unspeakable: The Art of Kara Walker</i>,2007-05-01,2007,journal article,Nka Journal of Contemporary African Art,10757163,Duke University Press,,Derek Conrad Murray,,2007,21,130,131,,,,,,,http://dx.doi.org/10.1215/10757163-21-1-130,,10.1215/10757163-21-1-130,,,0,,0,false,,
029-857-868-920-06X,Making Museums: Place & Politics symposium + Helmsdale: Museum for a Day,,2017,,,,,,Tracy Mackenna; Edwin Janssen,,,,,,Art; Art history; Politics,,,,,https://discovery.dundee.ac.uk/en/publications/making-museums-place-amp-politics-symposium-helmsdale-museum-for-,https://discovery.dundee.ac.uk/en/publications/making-museums-place-amp-politics-symposium-helmsdale-museum-for-,,,2955294867,,0,,0,false,,
029-969-443-437-968,An Analysis of Arthur Danto's Contemporary Art - On three characteristics after the end of 'fine art’s paradigm’,2019-12-31,2019,journal article,Journal of Contemporary Art Studies,17388295,Society of Contemporary Art Science,,Jang， Minhan,,23,2,135,155,Art; Modern art; Narrative; Art history; Fine art; Contemporary art,,,,,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002545140,http://dx.doi.org/10.29330/jcas.2019.12.23.2.135,,10.29330/jcas.2019.12.23.2.135,3006502848,,0,,0,false,,
029-970-784-136-969,The spiritual in contemporary art,,2011,,,,,,D. Jasper,,,,,,Art; Art history; Contemporary art,,,,,http://eprints.gla.ac.uk/51134/,http://eprints.gla.ac.uk/51134/,,,153178733,,0,,0,false,,
030-305-402-693-619,Contemporary Art and Art Education,,1963,journal article,Studies in Art Education,00393541,Informa UK Limited,,Jerome J. Hausman,,5,1,82,,Studio art; Art; Visual arts; Visual arts education; The arts; Anthropology of art; Fine art; Art methodology; Contemporary art,information society; culture existence; contemporary education; art constructionism,,,,http://dx.doi.org/10.2307/1319992 http://www.tandfonline.com/doi/abs/10.1080/00393541.1963.11650125,http://dx.doi.org/10.2307/1319992,,10.2307/1319992,2746277992,,0,,1,false,,
030-474-894-082-28X,Art Lies: A Contemporary Art Quarterly,,2011,,,,,,Art Lies,"This is the official website for Art Lies, a print quarterly arts publication. Founded in Texas, Art Lies offers a critical examination of artistic practice, theory, and discourse on and about the contemporary arts. The first issue of Art Lies was published in 1994. The site includes news, information about current and past issues, the journal's editorial policies, advertising rates. Art Lies ceased operation in 2011.",,,,,Literature; Art; Visual arts; Critical examination; Visual arts education; Environmental art; The arts; Anthropology of art; Art methodology; Contemporary art,,,,,https://digital.library.unt.edu/ark:/67531/metadc489973/,https://digital.library.unt.edu/ark:/67531/metadc489973/,,,231859784,,0,,0,false,,
030-807-501-905-517,How Aborigines invented the idea of contemporary art: Writing on Aboriginal contemporary art [Book Review],,2013,journal article,Aboriginal History,03148769,,,John Carty,"Review(s) of: How Aborigines invented the idea of contemporary art: Writing on Aboriginal contemporary art, edited and introduced by Ian Mclean, 359 pp, Institute of Modern Art and Power Publications, Sydney, 2011, ISBN 9780909952372 (pbk), $49.95.",37,,157,,Sociology; Publishing; Project commissioning; Modern art; Power (social and political); Media studies; Art history; Contemporary art,,,,,http://search.informit.com.au/documentSummary;dn=763078627486279;res=IELIND;subject=Culture%20%26%20institutions,http://search.informit.com.au/documentSummary;dn=763078627486279;res=IELIND;subject=Culture%20%26%20institutions,,,2265949671,,0,,0,false,,
031-382-733-273-42X,Photography in Contemporary Art,,2006,,,,,,Hilde Van Gelder,,,,,,Photography; Art; Visual arts; Fine art; Contemporary art,,,,,https://lirias.kuleuven.be/handle/123456789/336399,https://lirias.kuleuven.be/handle/123456789/336399,,,2521421881,,0,,0,false,,
031-533-189-940-414,КРИЗА CONTEMPORARY ART,2021-10-04,2021,journal article,ГРААЛЬ НАУКИ,27103056,European Scientific Platform (Publications),,Марина Протас,"<jats:p>Мистецька критика і візуальні практики, щільно інтегровані в транснаціональний ринковий капітал, в останнє десятиріччя знаходяться у стані гістерезису, провокуючи численні дискусії та перегляд дефініцій «art» і «contemporary». Незаангажована позиція низки західних аналітиків, маловідомих в Україні, має бути почутою, адже лише пошук істини, попри недовіру до алетеї в задушливих умовах «парадигми без парадигми», має шанс здолати кризу і визначити якісне мистецьке майбутнє.</jats:p>",,,433,455,Art; Art history; Contemporary art,,,,,https://ojs.ukrlogos.in.ua/index.php/grail-of-science/article/download/14860/13539,http://dx.doi.org/10.36074/grail-of-science.24.09.2021.84,,10.36074/grail-of-science.24.09.2021.84,3202287429,,0,,0,true,cc-by,hybrid
031-930-429-373-287,Contemporary Taonga: The Art Works of Brett Graham,2020-01-01,2020,dissertation,,,Victoria University of Wellington Library,,Anna-Marie White,"<jats:p>&lt;p&gt;The production of taonga is a sovereign Māori tradition closely guarded in contemporary Māori society. Many Contemporary Māori Artists observe taonga principles in their work though these qualities are stifled within the New Zealand art system. In the 1990s these subjects were fiercely debated resulting in Contemporary Māori Art being defined differently to the ancestral tradition of taonga. This debate created a rupture, which disturbs the practice of Māori art and is a major concern in the emerging practice of Māori art history. Reviving earlier arguments for Contemporary Māori Art to be defined according to the principles of taonga, this thesis applies the concept of ‘contemporary taonga’ to the art works of Brett Graham (Ngāti Koroki Kahukura), to argue that taonga production is active in contemporary Māori life and offers a new method to reconcile Māori art histories.  The practice of Kaupapa Māori research and theory enlivened the taonga principles of Brett Graham’s art works. Intensive accounts of two art works, produced a decade apart, reveal ‘contemporary taonga’ to be a collaborative process involving recognition and instrumentalisation by authoritative Māori viewers. Kahukura (1996), produced in response to the debates was, however, overwhelmed by competing interests of the time. Āniwaniwa (2006) undertook an arduous journey—to the centre of the Western art world in order to be shown within the artist’s tribal rohe—where Ngāti Koroki Kahukura kaumātua recognised Graham as a tohunga. Iwi leaders also employed Āniwaniwa in their Treaty of Waitangi claims process, functionalising the art work as taonga to support the advancement of their people. Āniwaniwa then left New Zealand to play a role in the formalisation of an international indigenous art network.   As a type for contemporary taonga, Āniwaniwa is an expansive model to introduce this concept to contemporary art discourse. The impact of this concept is yet to be realised though immediately reconciles long-standing issues in Māori art. ‘Contemporary taonga’ has the potential to radically reconcieve, and reorganise, Contemporary Māori Art practice and history according to the practice of ancestral Māori traditions and determined by the authority and agency of Māori people.&lt;/p&gt;</jats:p>",,,,,Contemporary art; Art; Sovereignty; Art world; History of art; Visual arts; History; Aesthetics; Sociology; Art history; Performance art; Political science; Law; Politics; Architecture,,,,,,http://dx.doi.org/10.26686/wgtn.17148014.v1,,10.26686/wgtn.17148014.v1,,,0,,0,true,cc-by,gold
032-085-039-751-570,Contemporary Art and Improvisation,2024-05-02,2024,book chapter,Relational Improvisation,,Routledge,,Simon Rose; Julie Myers,"How is improvisation understood in contemporary art practice? Despite contemporary art’s great diversity of practice, the relationship to improvisation is far from clear. Contemporary art is a rich site in which theories of improvisation may be examined in light of radical, emerging cross-disciplinary practices. With a special focus on ‘people and place’, artist Julie Myers has employed multiple methods, approaches and experiences and her outcomes have included film, video, performance, events, exhibitions, walks, websites, mapping, sound pieces, radio broadcasts, texts, photography and community archives. Taking a ground-up approach, Part 1 describes Rose-Myers’ collaborative projects in Germany, England and Poland in which improvisation was integral for the work. Part 2 describes the particular of Julie Myers’ extensive body of artistic work, her motivations, aims, approach, strategies and outcomes. Part 3 describes the interfacing of themes found in this work and those of improvisation, and Part 4 extends the thematic discussion to the wider field of contemporary art practice.",,,33,55,Improvisation; Art; Visual arts; Aesthetics,,,,,,http://dx.doi.org/10.4324/9781003276197-3,,10.4324/9781003276197-3,,,0,,0,false,,
032-886-790-263-717,War as Ever,,2014,book,,,,,Tracy Mackenna; Edwin Janssen,,,,,,,,,,,https://cgscholar.com/bookstore/works/war-as-ever https://discovery.dundee.ac.uk/en/publications/war-as-ever,https://cgscholar.com/bookstore/works/war-as-ever,,,2804052892,,0,,0,false,,
032-946-796-992-330,TEXT IN CONTEMPORARY ART,2012-09-28,2012,journal article,Arts and Music in Cultural Discourse. Proceedings of the International Scientific and Practical Conference,22560572; 2256022x,Riga Technical University,,Natalija Hart,"In the following pages we will take a brief look at how the use of text has developed and how it has found itself being used in today’s comtemporary art. The author will be drawing from the author’s experience gained in an exhibition at the Liverpool Tate (UK) that the author has recently been to with the Sedici group, a private art group that the author belongs to. Here the author looks at some of these works seen at the exhibition dedicated to the use of text in art ,and shares her thoughts on the subject.",,,182,187,Literature; Art; Visual arts; Subject (philosophy); Exhibition; Performance art; Contemporary art,art; artist; contemporary art; Fiona Banner; Jenny Holzer; Lawence Weiner; Liverpool Tate; Martin Creed; text,,,,http://journals.ru.lv/index.php/AMCD/article/download/1228/1287 https://core.ac.uk/download/pdf/276274100.pdf,http://dx.doi.org/10.17770/amcd2012.1228,,10.17770/amcd2012.1228,2344213022,,0,,0,false,,
033-024-556-041-144,The Museum of Loss and Renewal,,2017,,,,,,Edwin Janssen; Tracy Mackenna,,,,,,,,,,,https://discovery.dundee.ac.uk/en/publications/the-museum-of-loss-and-renewal,https://discovery.dundee.ac.uk/en/publications/the-museum-of-loss-and-renewal,,,2954268797,,0,,0,false,,
033-425-525-808-303,"Stop, drop, and roll with it: curating participatory media art",2016-10-01,2016,,,,,,Sarah Cook,,,,377,395,Sociology; Participatory media; Drop (telecommunication); Media studies,,,,,https://discovery.dundee.ac.uk/en/publications/stop-drop-and-roll-with-it-curating-participatory-media-art http://eprints.gla.ac.uk/178758/,https://discovery.dundee.ac.uk/en/publications/stop-drop-and-roll-with-it-curating-participatory-media-art,,,2943391788,,0,,0,false,,
034-079-793-871-824,"The Visual Performance of Technology and Philosophy in ""Contemporary Art""",2021-01-22,2021,conference proceedings article,Proceedings of the 2021 International Conference on Bioinformatics and Intelligent Computing,,ACM,,D. Liu Zheqian,"Starting from the characteristics and visual expression of contemporary art, this paper studies and discusses the integration of different disciplines in contemporary art, which makes the creation of contemporary art more similar to the work ""manufacturing"" of the artist team. The identity of the artist is transformed into the role of the designer. The art works reflect the philosophical thinking under the integration of multiple disciplines. At the same time, it analyzes the development trend of digital, virtual and interactive visual presentation of contemporary art based on technical support. Through the creation process of art works, it discusses two aspects of algorithm and data as intelligent art works. The research holds that digital technology has led to the boundless visual impact of ""contemporary art"" and the bioethical discussion behind its visual expression, namely philosophical speculation. Digitization has always been a technical means rather than an objective of ""contemporary art"".",,,372,378,Aesthetics; Sociology; Bioethics; Identity (social science); Digitization; Technical support; Philosophical thinking; Process (engineering); Speculation; Contemporary art,,,,,https://dl.acm.org/doi/pdf/10.1145/3448748.3448805,http://dx.doi.org/10.1145/3448748.3448805,,10.1145/3448748.3448805,3137151117,,0,,0,false,,
034-134-755-296-506,CONTEMPORARY ART OF AFRICA,1996-11-01,1996,journal article,Nka Journal of Contemporary African Art,10757163,Duke University Press,,Bill Wright,,1996,5,70,70,Art; Art history; African art; Anthropology of art; Contemporary art,,,,,https://read.dukeupress.edu/nka/article-abstract/1996/5/70/48500/CONTEMPORARY-ART-OF-AFRICA,http://dx.doi.org/10.1215/10757163-5-1-70,,10.1215/10757163-5-1-70,2068375725,,0,,0,false,,
034-435-126-408-586,Reason to Destroy Contemporary Art,2015-05-01,2015,book chapter,,,,,Suhail Malik,"For all the paradoxical anti-philosophy of contemporary art as a post-conceptual practice, it is in every case correlationist. As such, contemporary art has nothing to offer non-correlational realism. Put the other way, a rigorous realism can readily dispense with art as it now stands without loss or limitation. From yet another angle, realism’s provocation to art is the undoing of aesthetic experience as a condition or term of art, even in the avowal of art’s ineluctable materiality. Which is to say that realism speculatively indicates the conditions for another art than contemporary art.",,,,,Aesthetics; Materiality (auditing); Nothing; Art; Yet another; Undoing; Aesthetic experience; Realism; Contemporary art,,,,,https://research.gold.ac.uk/21173/,https://research.gold.ac.uk/21173/,,,2774051035,,0,,1,false,,
034-486-127-336-035,ONTOLOGY OF “CONTEMPORARY ART”,,2017,journal article,Articult,22276165,Russian State University for the Humanities,,Sergey Yu. Schtein,,,3,55,72,World Wide Web; Sociology; Ontology (information science); Contemporary art,,,,,"http://articult.rsuh.ru/upload/articult/journal_content/027/ARTICULT-27_(3-2017,P.55-72)-Schtein.pdf",http://dx.doi.org/10.28995/2227-6165-2017-3-55-72,,10.28995/2227-6165-2017-3-55-72,2774372537,,0,,0,true,,gold
034-506-197-306-152,Contemporary Jewish Art,2017-12-15,2017,book chapter,"Image, Action, and Idea in Contemporary Jewish Art",,Penn State University Press,,,,,,68,104,Judaism; Art; Art history; History; Archaeology,,,,,,http://dx.doi.org/10.5325/jj.22247053.9,,10.5325/jj.22247053.9,,,0,,0,false,,
035-142-165-382-339,CONNECTION BETWEEN TRADITIONAL AND CONTEMPORARY CERAMIC ART: NINA HOLE,2018-09-30,2018,journal article,Ulakbilge Dergisi,21480451,Sada Institute,,Nurtac Cakar,"Ceramic as an art and craft has a very long history. In this context, Nina Hole, who created her own original language within the traditional structure, made a great and important contributions to the contemporary ceramic art. She has made a connection between nature and architecture in terms of inter disciplinary aspect with the help of her own artistic language towards ceramic art. Not only artistry but also technique and production mode, she was interested in both at the same time. This article focuses on the boundaries of ceramic art in terms of traditional and contemporary perspective and how Nina Hole is pushing these boundaries. As a conclusion, this paper will examine the contemporary concepts and debates of contemporary ceramic art in the light of Nina Hole's method of producing art works and approaching ceramic art. Nina Hole, who acted as a bridge between Europe and America, focused on the structuralist view of ceramic art and how it is shaped by the development of technology in today's world. With the light of it, the dynamics of contemporary ceramic art will be examined. In this context, as seen, interdisciplinary aspects of her art works are the inevitable result of the contemporary art production mode. The ""power of production"" concept of the ""new"" is related to revealing what is hidden in the technique. Nina Hole's approach to ceramics art will be examined through the contemporary art's concerns.",6,28,,,Electrical engineering; Art; Ceramic art; Connection (mathematics),Ceramics; Contemporary Art; Nina Hole,,,,https://www.ulakbilge.com/makale/pdf/1532422448.pdf http://www.ulakbilge.com/makale/pdf/1532422448.pdf,http://dx.doi.org/10.7816/ulakbilge-06-28-02,,10.7816/ulakbilge-06-28-02,2898295157,,0,,0,true,cc-by-nc-nd,gold
035-269-224-536-341,Guides: Art & Artists: Contemporary: Books,2012-03-06,2012,libguide,,,,,Rebecca Barham,"This guide provides resources on contemporary art, artists, movements, theory, and criticism in the contemporary art world. Contemporary is defined as 1970 to the present. How to find books on contemporary art and artists.",,,,,Studio art; Art; Visual arts; Criticism; Contemporary art,,,,,https://guides.library.unt.edu/artcontemporary/books,https://guides.library.unt.edu/artcontemporary/books,,,2981882276,,0,,0,false,,
035-299-115-456-008,Three Value Orientations in the Development of Contemporary Fiber Art,2018-07-23,2018,journal article,Dokuz Eylül Üniversitesi Güzel Sanatlar Fakültesi Dergisi,13079840,"YEDI: Journal of Art, Design and Science",,Kai Liang,"Neutral thinking in contemporary Chinese philosophy is based on the era characteristics of diversification and multi-polarization. It is not only a way of thinking but also a value of judgment, which can provide a choice and a path to the development of contemporary art. Development of contemporary fiber art not only provides the experimental field of contemporary art, but also reflects the value and significance of neutral thinking in the future development of art. This article will discuss three value orientations in the development of contemporary fiber art, such as from the concept to the material, from the appreciation of ugliness to the beauty, and from the elite to the general public, exemplifying the From Lausanne to Beijing International Fiber Art Biennale and trying to explore the future and value of fiber art.",,20,129,135,Aesthetics; Sociology; Diversification (marketing strategy); Elite; Beauty; Chinese philosophy; Contemporary art,From Lausanne to Beijing; fiber art; Neutral thinking; value orientations Lozan'dan Pekin'e; lif sanatı; tarafsız düşünme; değer oryantasyonları,,,,https://dergipark.org.tr/en/download/article-file/511832 http://dergipark.gov.tr/download/article-file/511832 https://dergipark.org.tr/en/pub/yedi/issue/38504/446854,http://dx.doi.org/10.17484/yedi.446854,,10.17484/yedi.446854,2884628267,,0,079-008-483-950-732,0,true,cc-by,hybrid
035-519-999-261-848,"OPEN SPACE: Art Cologne, Cologne",,2007,,,,,,Scott Myles,,,,,,Art; Art history; Space art,,,,,https://discovery.dundee.ac.uk/en/publications/open-space-art-cologne-cologne,https://discovery.dundee.ac.uk/en/publications/open-space-art-cologne-cologne,,,2978033236,,0,,0,false,,
035-564-143-481-459,Contemporary African Art,,1985,journal article,African Arts,00019933; 19372108,JSTOR,United States,Carolyn Owerka,,18,2,78,78,Art; Art history; African art; Anthropology of art; Contemporary art,,,,,https://direct.mit.edu/afar/article/18/2/78/52450/Contemporary-African-Art,http://dx.doi.org/10.2307/3336197,,10.2307/3336197,2168822530,,0,,2,false,,
036-062-967-006-585,"New faces, new works : China contemporay art",,2012,book,,,,,Zhao Li,"Chinese contemporary art is rapidly developing in diverse, complex directions. Talented new artists and hotspots for collection and investment are emerging on a daily basis. For the Chinese contemporary art worker, the collector, the hobbyist and artists around the world, an authoritative, accurate and up-to-date yearbook of emerging trends in Chinese contemporary art can be a valuable tool for grasping the dynamics of this complex scene. ""New Works, New Face: China Contemporary Art 2012"", to be released by CYPI in 2012, will be edited by Zhao Li, a leading scholar of the Chinese contemporary art environment. For this project, he brings together critics, curators, media professionals and art professionals from around the world to nominate and select the most important events, phenomena, artists and artworks to emerge in Chinese contemporary art in 2010 and 2011. The results will be compiled into three sections of the book: chronology, new works from old faces and different works from new faces. This book will give readers a firm grasp of developments in Chinese contemporary art and provide them with solid recommendations for collection and investment in this field.",,,,,NOMINATE; Art; Dynamics (music); Visual arts; China; Yearbook; Face (sociological concept); Field (Bourdieu); Art methodology; Contemporary art,,,,,http://ci.nii.ac.jp/ncid/BB12565109,http://ci.nii.ac.jp/ncid/BB12565109,,,583672457,,0,,0,false,,
